1111,radiolabel,fname,lname,address1,address2,city,state,zip,country,email,phone,dob,age,gender,tsize,dso,regNumber,bibNumber,memNumber,ipcNumber,teamName,hcName,hcPhone,hcEmail,classified,coachPresence,archery,fencing,field,swim,tableTennis,teams,track,weightlifting,other
Athlete,"Deacon Martin","Abraham Hopkins","477 South Fabien Street","Repellendus Eligend","Accusantium est veni",FL,65581,USA,kizo@mailinator.com,234407-9831,2007-07-20,9999,male,cMedium,amb,746,755,970,217,"Amethyst Hubbard","Lisandra Baird",34,jiloleh@mailinator.com,No,Yes,0,0,0,1,1,1,1,0,0
Coach,"Walter Alexander","Audrey Waller","48 First Court","Aute aut vero magni","Quo officia libero o",TN,531,USA,cobag@mailinator.net,21,1998-07-01,96,male,cLarge,sci,670,532,66,426,"Ethan Barnett","Leah Rosario",84,lajudib@mailinator.net,Yes,Yes,0,1,1,0,0,0,0,0,0
Official,"Branden Lopez","Melvin Peters","554 East Milton Drive","Eum adipisicing ipsu","Eiusmod consectetur",NY,68214,USA,rydosijum@mailinator.com,8,1992-08-24,32,male,cMedium,ba,404,749,983,201,"Honorato Peters","Erich Ballard",26,pagohon@mailinator.com,Yes,No,1,0,0,1,0,0,0,0,0
Official,"Donna Macias","Marcia Bullock","61 First Freeway","Dicta sit rem offic","Nulla ex doloremque",IL,3974,USA,simoto@mailinator.net,71,1979-06-12,68,other,cLarge,amb,117,213,533,519,"Scott Bauer","Boris Maynard",5,xygeqej@mailinator.com,Yes,No,1,1,0,0,1,1,1,0,1
Athlete,"Clayton Rios","Aiko Jensen","63 East Clarendon Extension","Minim dolorem ducimu","Officia quas molliti",GA,85235,USA,ksd@a,823745-2361,2019-05-07,1,other,xl,da,4,361,338,8,"Jena Harding","Kermit Pierce",23,tuguwuxado@mailinator.net,No,Yes,0,1,0,0,0,0,1,0,1
Head_Coach,"Elizabeth Mays","Ryder Martin","701 North Fabien Avenue","Adipisicing ratione","Quo quia hic exercit",AL,372,USA,zexydunupe@mailinator.com,61,1994-09-22,20,other,xxl,id,941,833,152,291,"Baxter Atkinson","Seth Flynn",54,zuzy@mailinator.com,No,Yes,1,0,1,0,1,1,0,0,1
Support_Staff,"Merritt Schneider","Alexander Fleming","702 First Freeway","Minim possimus quia","Placeat non vero om",NV,565,USA,jitavike@mailinator.com,9,2014-02-06,4,female,xxl,ba,310,304,69,273,"Sean Becker","Felicia Marquez",36,pybejuvic@mailinator.com,No,No,0,1,1,1,1,0,0,0,1
Head_Coach,"Britanney Whitley","Cedric Fuentes","75 Oak Parkway","Sint at cillum commo","Esse est officiis",WV,31860,USA,foja@mailinator.net,604-548-1857,2004-11-10,27,male,large,cp,284,184,615,893,"Tobias Gonzales","Serena Lindsay",75,cydululixo@mailinator.com,No,Yes,1,1,0,0,1,0,0,0,0
Coach,"Mallory Figueroa","Myles Williamson","75 West First Road","In eligendi cumque d","Tempora soluta ut su",MI,16739,USA,qusady@mailinator.com,9721372115,23/45/6789,1,male,xl,amb,757,306,998,315,"Lamar Andrews","Dominic Shepherd",2838836491,rozeni@mailinator.com,No,Yes,1,0,1,1,0,1,0,0,0
Official,"Hunter Decker","Shaeleigh Pope","79 Cowley Street","Aute aliquip sunt fu","Commodo aliqua Quia",TX,445343,USA,sosibaw@mailinator.net,82,1976-07-07,19,male,xxxl,amb,848,575,311,595,"Quemby Carver","Iliana Joseph",85,nysuliku@mailinator.net,No,No,0,0,1,1,1,1,1,0,0
